code, name
8018,Smart and Connected Health
8016,Japan Earthquake 2011
8015,BIO Innovation Activities
J405,
8013,National Robotics Initiative
8012,CR, Earth System Models
8011,Systems and Synthetic Biology
8010,Computing in the Cloud
7456,ITR-CYBERTRUST
7457,NANOSCALE SCIENCE & ENG EDUCAT
7454,MSPA-INTERDISCIPLINARY
7452,NSEE NON-CORE
084E,NANOMANUFACTURING
7450,ALT IN HIGH ED-INST SC EQ
V601,
1220,ELEMENTARY PARTICLE PHYSICS
7458,GEOMORPHOLOGY & LAND USE DYNAM
7459,SEDIMENTARY GEO & PALEOBIOLOGY
1371,POLITICAL SCIENCE
1370,POLITICAL AND POLICY SCIENCE
1373,PNGV-ADVANCED MANUFACTURING
1372,LAW AND SOCIAL SCIENCES
7690,ADVANCE - IT-START
1374,PNGV-MATERIALS
7692,RIG/CAA
7693,CZO: CRITICAL ZONE OBSER SOLIC
7698,CATALYZING INTERDISCIP ACTIVIT
7699,ICER
4732,MICROELECT FABRICA & PACKAGING
137E,Neural-engineering
4730,PROTOTYPING TOOLS & METH PROGR
5994,SLOVAK REPUBLIC
5996,U.S. CROATIA JOINT FUND
5991,KENYA
5993,NIGERIA
5992,MADAGASCAR
W191,
5999,SLOVENIA
5998,UKRAINE
W195,
H107,
7520,CONTINUING EDUCATION
7526,LIBERIA
7527,LIBYA
7524,IRAN
7525,LESOTHO
KX13,
123P,WKSHP ON WOMEN IN BIOTECH
019F,ALMA - IMPLEMENTATION
066E,INSTRUMENTATION & DIAGNOSTICS
019E,SENSORS AND SENSING
3623,
066P,COSEPUP CORE SUPPORT
2367,
5668,
Y345,
Y610,
4725,EXPERIMENTAL SYSTEMS/CADRE
2300,
4727,1081 75-25 DOT
4726,1081 75-16 MARITIME COMM
4720,SIGNAL PROCESSING SYS PROGRAM
026E,STRUCTURAL MECHANICS
026F,CESR -OPERATIONS & MAINTENANCE
I472,
0441,
3748,
099E,High voltage switching & conversion
3746,
044E,CATALYSIS
044F,GEMINI-OPERATIONS &MAINTENANCE
7498,MALI
L195,
028F,NSCL -OPERATIONS & MAINTENANCE
028E,BIOMECHANICS
2275,
2274,
9193,GENERAL COURSE AND CURRICULUM
2271,
2270,
2273,
041F,NAIC
5542,HUMAN NEEDS
5543,PRODUCT. OF SER & DEL ORG
7490,RESEARCH & PROB ASSESSMET
0667,
9249,COMPREHENSIVE REGIONAL CTRS FOR MINORITI
9248,PARTNERSHIPS FOR MINORITY STUDNT ACHIEVE
2889,GRADUATE RESEARCH TRAINEESHIP
9241,OTHER COLLABORATIVE CHEMISTRY
9240,HIGH RISK CHEMISTRY PROJECTS
2451,
2450,NASA ATMOSPHERIC CHEM
9247,SUMMER SCIENCE CAMPS
9246,UNDERGRAD MATERIALS EDUCATION INITIATIVE
X702,
7850,
I137,
5544,TECHNOLOGICAL ASSESSMENT
Y963,
7350,NAT ECOLOGICAL OBSERVATORY NET
9468,
2053,
2052,
2054,
4829,
3690,
J431,
4820,
7980,Core R&D Programs
1226,INDIAN OCEAN EARTHQUAKE & TSUNAMI
9560,
V736,
6365,
6364,
006F,ICECUBE-OPERATIONS & MAINTENAN
7337,JORDAN
006E,BIOPROCESS ENGINEERING
7336,DEPT LEVEL REFORM OF UNDERGRAD ENG EDU
V513,
9290,INDUSTRY INTERNSHIP
9291,GRAD ENG ED-WOMEN, MIN, DISABL
3522,
3523,
9296,PRESIDENTIAL FACULTY FELLOWS
1508,INFOR DISSEM ACTIV FOR PERSONS WITH DISA
7332,LIT SEC RES PERS WKSH LSI
7218,RET SUPPLEMENTS
7219,NANOTECHNOLOGY UNDERGRAD EDUCA
7331,SENSOR NETS
7210,CAR SEC SCHL PROG MAT NL
7211,CAR SEC SCHL PROG MAT LPY
7212,CAR SEC SCHL PROG MAT LSI
7330,LIT-SEC SUPS & ADS (NL)
7214,HIGHLY DEPENDABLE COMPUTING
7215,OPPORTUNITIES FOR RESEARCH CMG
7216,FRONTIERS IN BIO RES (FIBR)
7217,RESEARCH INFRASTRUCTURE IMPROV
2699,
2698,
2696,
N532,
9298,RESEARCH ELECTROCHEMICAL SYNTH
V170,
1365,PHYSICAL INFRASTRUCTURE DEVELP
1602,XYZ CHIP INITIATIVE
6810,ECONOMICS OF INFORMATION
J394,
V358,
1972,ELECTROCHEMISTRY & SURFACE CHE
H433,
X518,
7338,TANZANIA
7324,HSD - MODELING HSD
7325,HSD - INSTRUMENTATION & DATA R
7326,HSD - GENERAL
7327,CRCNS
1968,PHYSICAL INORGANIC
7321,SCIENCE CURRICULUM IMPROV
1618,DMS VIGRE Program
7323,HSD - SPATIAL SOCIAL SCIENCE
1616,FOCUSED RESEARCH GROUPS IN MATH SCIENCES
1966,SYNTHETIC INORGANIC
1960,STRUCTURE AND REACTIVITY
7329,COMPILERS
1962,SPECTROSCOPY
1611,OCEAN PHYSICS
8858,
8840,MODELING OF SPEC S&T INDICATOR
8841,Exploration Projects
8842,Design and Implementation Projects
8843,Integration and Deployment Projects
2870,COMPUTER SYSTEMS ARCHITECTURE
2877,PROGRAMMING LANGUAGES &COMPILR
2876,DISTRIBUTED SYSTEMS
2875,SYSTEM SOFTWARE
2878,SPECIAL PROJECTS - CCF
3355,
7668,NON-LIM UNOBLIGATED BALANCES
3356,
3350,
V123,
161E,Hydrocarb from Biomass (HyBi)
7664,THEORETICAL BIOLOGY
7666,EARMARKED PROGRAM FUNDS
T371,
H328,
5440,OTHER FACILITIES & SUPPORT OPS
T377,
1768,Cyber Security - PHY Only
1769,Other Nano
1762,SOLID STATE & MATERIALS CHEMIS
1763,QUANTUM SOLIDS & LIQUIDS
1760,CONDENSED MATTER SCIENCES-RESR
1761,SOLID STATE PHYSICS
1766,STRATEGIC TECH FOR INTERNET
